Product Title,Price,% Off,Discount Code,Amazon_link,
Insulated Lunch Bags for Women Reusable Lunch Tote Bag Lightweight Lunch Box Containers for Work Meal Prep Lunch Bags for Picnic,$14.49,50%,505VGZXB,https://www.amazon.com/promocode/A22VABN2TMH6N9?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"New Dad Gifts for Men – Dad Est 2021 Funny Whiskey Glass Gifts for Dads, Unique Fathers Day, Christmas, Birthday Gifts for New Dad, Expectant Father, First Time Dad, Husband from Wife, Friend, 11 oz",$5.97,50%,50Q1QEZM,https://www.amazon.com/promocode/A2XFBQA05VVQGK?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
WHITIN Men’s House Slippers Arch Support Winter Fuzzy Snow Size 10 Plantar Fasciitis Zapatillas de casa para Hombre bed Shoes Bedroom Cushion Non-Slip Hardwood Floors Tartan Grey 44,$13.99,50%,50P34QFA,https://www.amazon.com/promocode/A13HEASXTEZW66?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Flip Flops Women Orthotic Archies Supportive Thong Sandals Rubber Comfy Shoes Cloud Foam Healing Sole Recovery Casual Summer Pool Shower Slides House Slipper Black Bathroom Spa Women Size 6 Men size 4,$14.69,51%,51V92W2S,https://www.amazon.com/promocode/A3V5ICPDSUUEA7?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Magic Cleaning Sponges Eraser, 100 Pack Multi-Functional Melamine Sponge Foam Pads, Dish Sponges, Household Cleaner Non-Scratch Scrub Sponge for Kitchen, Bathtub, Furniture,Shoe,Car Wash",$13.19,56%,56YZ9G1H,https://www.amazon.com/promocode/A3GCP0ENN7YRH8?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Goothdurs 32 oz Motivational Water Bottle with Time Marker & Straw to Drink– Leak Proof BPA Free Non-Toxin for Gym Running Outdoors,$6.49,50%,5062G41H,https://www.amazon.com/promocode/A3NSE4F9Z0EUAT?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"FITORY Girls Fur Lined Clogs, Waterproof Slippers Slip-on Garden Shoes for Todders/Little Kid Blue 11.5-12 Little Kid",$6.39,60%,609SULF9,https://www.amazon.com/promocode/A1YIK9TETMEAA2?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
Eimmabey Women High Waiste Compression Yoga Shorts with Pocket Black M,$6.89,70%,70U6OXN4,https://www.amazon.com/promocode/A380ZU0WMR41A5?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
SRISE Insulated Lunch Bag Reusable Wide-Open Lunch Box Lunch Cooler Tote Bags for School and Work Durable Nylon Water-Resistant Lunch Boxes for Girls & Boys,$9.44,65%,655GY24H,https://www.amazon.com/promocode/A2XY2UVRGE7Q0L?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Stocking Stuffers Christmas Gifts for Him Husband Men,Bottle Opener,I LOVE YOU,Cool Valentines Birthday Anniversary Day Present Idea for Boyfriend,Father’s Day Husband Gifts,Beer Gadget for Him",$4.99,50%,5019I3QU,https://www.amazon.com/promocode/A1M6QPHF26TQ7Z?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
ZOOSIXX Women’s Casual Shorts with Drawstring Loose Comfy Lounge Sleep Pajama Shorts,$6.79,60%,60IF357R,https://www.amazon.com/promocode/A2AUCHC0ORL7SJ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
OBDMONSTER OBD2 Scanner YA-102 Car Code Reader with Full OBD2 Functions Diagnostic Scan Tool DTC Lookup Check Engine Fault Code Reader OBD2 Scan Tool for Car After 1996,$7.99,50%,50RV71V5,https://www.amazon.com/promocode/AVGCI5NX1AAFW?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Beach Sand Toys Set for Kids, Beach Toys Includes Sand Toys Castle Sandbox, Animal Molds, Shovels, Rakes, Mesh Bag, Fun Outdoor Games Beach Toys for Toddlers Kids Boys Girls",$7.98,40%,402QRNL5,https://www.amazon.com/promocode/ALOITL9COD7NU?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Vebach Wireless Charger, Aluminum Frame, Qi Certified Wireless Charging Pad 7.5W for iPhone 13 Pro Max/13 Mini/iPhone 12 Pro Max/12 Mini/SE 2020/11 Pro Max/Xs/XR/8, 10W for Samsung S21/S20/Note 10/S9",$13.74,45%,451SQLJ3,https://www.amazon.com/promocode/A2U0LM4S4NILEX?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Dimmable E26 LED Light Bulbs 6 Watt (60w Equivalent) Medium Base Daylight 5000K 120V 600LM 82Ra No Flicker 1.97×3.39 inch Appliance Screw Bulb for Fan Light, Table Lamp (6 Packs)",$10.79,40%,40BWE94R,https://www.amazon.com/promocode/A1DMM38TEROZJN?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Beach Diamond Painting,DIY 5D Summer Beach Diamond Art,Diamond Painting Beach Scenes,Perfect for Home Wall Decoration 14x14inch",$6.99,50%,50EP2LWK,https://www.amazon.com/promocode/A2ZZMXDP9W5408?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Wearest Women’s Cozy Tie Dye Printed Knit Jumpsuit Loungewear Sleepwear Long Joggers Pajamas Set (X-Large, Tie Dye Taro Purple)",$17.84,15%,159CLWMG,https://www.amazon.com/promocode/AK2NG31Z0S5JT?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"50 Pcs Stickers for Water Bottle, Vinyl Waterproof Decal for Travel Case Laptop Skateboard Computer Phone, Game Stickers Pack for Kids Teens (Game Sticker-50 Pieces)",$3.19,60%,60JLKDXI,https://www.amazon.com/promocode/A32W898KA53KOU?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"SIRUIYUAN Women’s Running Sneaker Breathable Lightweight Knit Air Jogging Slip On Mesh Walking Shoe (Gray/Pink, Numeric_7)",$16.31,60%,60EB62P3,https://www.amazon.com/promocode/A11GTD7AR54EP?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"Initial Stud Earrings for Girls Women, Tiny S925 Sterling Silver Post 14K Gold Plated Girls Earrings Hypoallergenic Sensitive Alphabet Letter Stud Earrings for Toddler Kids X Initial Studs",$4.89,65%,651IT11O,https://www.amazon.com/promocode/A2FSAOZRUYFKMQ?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
"BODATU Mens Winter Warm Slippers with Fuzzy Waterproof Slip on House Shoes for Indoor and Outdoor Red,Men 10",$13.99,60%,609KTHYB,https://www.amazon.com/promocode/AGJF81AIM7INI?_encoding=UTF8&tag=yfsplist-20&linkCode=ogi&th=1&psc=1,
